Datum von;(Uhrzeit) von;Zeitzone;(Uhrzeit) bis;Zeitzone;ID AEP in €/MWh
05.01.2024;13:15;CET;13:30;CET;107,100
05.01.2024;13:30;CET;13:45;CET;108,140
05.01.2024;13:45;CET;14:00;CET;105,240
05.01.2024;14:00;CET;14:15;CET;110,120
05.01.2024;14:15;CET;14:30;CET;110,280
05.01.2024;14:30;CET;14:45;CET;107,910
05.01.2024;14:45;CET;15:00;CET;97,810
05.01.2024;15:00;CET;15:15;CET;86,030
05.01.2024;15:15;CET;15:30;CET;99,270
05.01.2024;15:30;CET;15:45;CET;104,380
05.01.2024;15:45;CET;16:00;CET;107,240
05.01.2024;16:00;CET;16:15;CET;110,970
05.01.2024;16:15;CET;16:30;CET;121,730
05.01.2024;16:30;CET;16:45;CET;138,100
05.01.2024;16:45;CET;17:00;CET;123,990
05.01.2024;17:00;CET;17:15;CET;108,050
05.01.2024;17:15;CET;17:30;CET;109,520
05.01.2024;17:30;CET;17:45;CET;113,600
05.01.2024;17:45;CET;18:00;CET;109,080
05.01.2024;18:00;CET;18:15;CET;104,370
05.01.2024;18:15;CET;18:30;CET;98,910
05.01.2024;18:30;CET;18:45;CET;97,640
05.01.2024;18:45;CET;19:00;CET;88,780
05.01.2024;19:00;CET;19:15;CET;119,530
05.01.2024;19:15;CET;19:30;CET;101,220
05.01.2024;19:30;CET;19:45;CET;89,130
05.01.2024;19:45;CET;20:00;CET;86,510
05.01.2024;20:00;CET;20:15;CET;108,700
05.01.2024;20:15;CET;20:30;CET;98,820
05.01.2024;20:30;CET;20:45;CET;84,950
05.01.2024;20:45;CET;21:00;CET;83,350
05.01.2024;21:00;CET;21:15;CET;110,480
05.01.2024;21:15;CET;21:30;CET;100,110
05.01.2024;21:30;CET;21:45;CET;93,500
05.01.2024;21:45;CET;22:00;CET;80,650
05.01.2024;22:00;CET;22:15;CET;105,870
05.01.2024;22:15;CET;22:30;CET;80,000
05.01.2024;22:30;CET;22:45;CET;81,000
05.01.2024;22:45;CET;23:00;CET;73,820
05.01.2024;23:00;CET;23:15;CET;86,360
05.01.2024;23:15;CET;23:30;CET;108,550
05.01.2024;23:30;CET;23:45;CET;97,480
05.01.2024;23:45;CET;00:00;CET;101,540
06.01.2024;00:00;CET;00:15;CET;117,770
06.01.2024;00:15;CET;00:30;CET;121,120
06.01.2024;00:30;CET;00:45;CET;102,950
06.01.2024;00:45;CET;01:00;CET;103,320
06.01.2024;01:00;CET;01:15;CET;96,950
06.01.2024;01:15;CET;01:30;CET;100,320
06.01.2024;01:30;CET;01:45;CET;110,940
06.01.2024;01:45;CET;02:00;CET;88,280
06.01.2024;02:00;CET;02:15;CET;98,490
06.01.2024;02:15;CET;02:30;CET;88,730
06.01.2024;02:30;CET;02:45;CET;96,300
06.01.2024;02:45;CET;03:00;CET;95,560
06.01.2024;03:00;CET;03:15;CET;92,220
06.01.2024;03:15;CET;03:30;CET;85,290
06.01.2024;03:30;CET;03:45;CET;109,330
06.01.2024;03:45;CET;04:00;CET;104,390
06.01.2024;04:00;CET;04:15;CET;88,800
06.01.2024;04:15;CET;04:30;CET;101,150
06.01.2024;04:30;CET;04:45;CET;110,570
06.01.2024;04:45;CET;05:00;CET;113,940
06.01.2024;05:00;CET;05:15;CET;86,930
06.01.2024;05:15;CET;05:30;CET;88,920
06.01.2024;05:30;CET;05:45;CET;97,130
06.01.2024;05:45;CET;06:00;CET;91,290
06.01.2024;06:00;CET;06:15;CET;59,900
06.01.2024;06:15;CET;06:30;CET;89,220
06.01.2024;06:30;CET;06:45;CET;104,230
06.01.2024;06:45;CET;07:00;CET;94,280
06.01.2024;07:00;CET;07:15;CET;80,630
06.01.2024;07:15;CET;07:30;CET;85,610
06.01.2024;07:30;CET;07:45;CET;98,410
