Datum;Zeitzone;von;bis;Einheit;AEP Modul 1;AEP Modul 2;AEP Modul 3
2024-01-03;CET;18:30;18:45;EUR/MWh;52,80;N.E.;N.E.
2024-01-03;CET;18:45;19:00;EUR/MWh;107,21;N.E.;N.E.
2024-01-03;CET;19:00;19:15;EUR/MWh;105,98;N.E.;N.E.
2024-01-03;CET;19:15;19:30;EUR/MWh;111,39;N.E.;N.E.
2024-01-03;CET;19:30;19:45;EUR/MWh;N.E.;114,47;N.E.
2024-01-03;CET;19:45;20:00;EUR/MWh;N.E.;130,86;N.E.
2024-01-03;CET;20:00;20:15;EUR/MWh;N.E.;125,58;N.E.
2024-01-03;CET;20:15;20:30;EUR/MWh;-3,03;N.E.;N.E.
2024-01-03;CET;20:30;20:45;EUR/MWh;-10,37;N.E.;N.E.
2024-01-03;CET;20:45;21:00;EUR/MWh;12,78;N.E.;N.E.
2024-01-03;CET;21:00;21:15;EUR/MWh;-11,29;N.E.;N.E.
2024-01-03;CET;21:15;21:30;EUR/MWh;31,08;N.E.;N.E.
2024-01-03;CET;21:30;21:45;EUR/MWh;90,39;N.E.;N.E.
2024-01-03;CET;21:45;22:00;EUR/MWh;110,40;N.E.;N.E.
2024-01-03;CET;22:00;22:15;EUR/MWh;111,38;N.E.;N.E.
2024-01-03;CET;22:15;22:30;EUR/MWh;113,67;N.E.;N.E.
2024-01-03;CET;22:30;22:45;EUR/MWh;-14,84;N.E.;N.E.
2024-01-03;CET;22:45;23:00;EUR/MWh;93,60;N.E.;N.E.
2024-01-03;CET;23:00;23:15;EUR/MWh;N.E.;103,89;N.E.
2024-01-03;CET;23:15;23:30;EUR/MWh;110,71;N.E.;N.E.
2024-01-03;CET;23:30;23:45;EUR/MWh;-17,97;N.E.;N.E.
2024-01-03;CET;23:45;00:00;EUR/MWh;75,89;N.E.;N.E.
2024-01-04;CET;00:00;00:15;EUR/MWh;-11,06;N.E.;N.E.
2024-01-04;CET;00:15;00:30;EUR/MWh;-19,37;N.E.;N.E.
2024-01-04;CET;00:30;00:45;EUR/MWh;-14,89;N.E.;N.E.
2024-01-04;CET;00:45;01:00;EUR/MWh;-15,05;N.E.;N.E.
2024-01-04;CET;01:00;01:15;EUR/MWh;-4,54;N.E.;N.E.
2024-01-04;CET;01:15;01:30;EUR/MWh;-5,79;N.E.;N.E.
2024-01-04;CET;01:30;01:45;EUR/MWh;3,14;N.E.;N.E.
2024-01-04;CET;01:45;02:00;EUR/MWh;N.E.;-19,41;N.E.
2024-01-04;CET;02:00;02:15;EUR/MWh;-14,66;N.E.;N.E.
2024-01-04;CET;02:15;02:30;EUR/MWh;-23,40;N.E.;N.E.
2024-01-04;CET;02:30;02:45;EUR/MWh;-8,06;N.E.;N.E.
2024-01-04;CET;02:45;03:00;EUR/MWh;80,73;N.E.;N.E.
2024-01-04;CET;03:00;03:15;EUR/MWh;86,55;N.E.;N.E.
2024-01-04;CET;03:15;03:30;EUR/MWh;-10,62;N.E.;N.E.
2024-01-04;CET;03:30;03:45;EUR/MWh;80,73;N.E.;N.E.
2024-01-04;CET;03:45;04:00;EUR/MWh;80,73;N.E.;N.E.
2024-01-04;CET;04:00;04:15;EUR/MWh;85,17;N.E.;N.E.
2024-01-04;CET;04:15;04:30;EUR/MWh;92,44;N.E.;N.E.
2024-01-04;CET;04:30;04:45;EUR/MWh;92,13;N.E.;N.E.
2024-01-04;CET;04:45;05:00;EUR/MWh;92,77;N.E.;N.E.
2024-01-04;CET;05:00;05:15;EUR/MWh;88,82;N.E.;N.E.
2024-01-04;CET;05:15;05:30;EUR/MWh;89,37;N.E.;N.E.
2024-01-04;CET;05:30;05:45;EUR/MWh;-2,14;N.E.;N.E.
2024-01-04;CET;05:45;06:00;EUR/MWh;112,71;N.E.;N.E.
2024-01-04;CET;06:00;06:15;EUR/MWh;124,22;N.E.;N.E.
2024-01-04;CET;06:15;06:30;EUR/MWh;120,80;N.E.;N.E.
2024-01-04;CET;06:30;06:45;EUR/MWh;N.E.;162,21;N.E.
2024-01-04;CET;06:45;07:00;EUR/MWh;-12,46;N.E.;N.E.
2024-01-04;CET;07:00;07:15;EUR/MWh;-25,16;N.E.;N.E.
2024-01-04;CET;07:15;07:30;EUR/MWh;112,68;N.E.;N.E.
2024-01-04;CET;07:30;07:45;EUR/MWh;121,32;N.E.;N.E.
2024-01-04;CET;07:45;08:00;EUR/MWh;118,26;N.E.;N.E.
2024-01-04;CET;08:00;08:15;EUR/MWh;118,19;N.E.;N.E.
