Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
02.01.2024;CET;21:00;21:15;MW;23,264;30,276;23,444;5,512;82,496;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;21:15;21:30;MW;0,000;0,000;0,000;0,000;0,000;35,204;45,812;35,472;8,340;124,828
02.01.2024;CET;21:30;21:45;MW;0,000;0,000;0,000;0,000;0,000;47,840;62,260;48,208;11,336;169,644
02.01.2024;CET;21:45;22:00;MW;6,656;8,660;6,704;1,576;23,596;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;22:00;22:15;MW;4,192;5,452;4,224;0,992;14,860;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;22:15;22:30;MW;0,000;0,000;0,000;0,000;0,000;28,628;37,256;28,844;6,784;101,512
02.01.2024;CET;22:30;22:45;MW;0,000;0,000;0,000;0,000;0,000;8,156;10,616;8,220;1,932;28,924
02.01.2024;CET;22:45;23:00;MW;0,000;0,000;0,000;0,000;0,000;2,384;3,104;2,404;0,564;8,456
02.01.2024;CET;23:00;23:15;MW;21,844;28,428;22,008;5,176;77,456;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;23:15;23:30;MW;0,000;0,000;0,000;0,000;0,000;22,960;29,880;23,136;5,440;81,416
02.01.2024;CET;23:30;23:45;MW;0,000;0,000;0,000;0,000;0,000;26,796;34,876;27,004;6,348;95,024
02.01.2024;CET;23:45;00:00;MW;0,000;0,000;0,000;0,000;0,000;65,788;85,616;66,292;15,588;233,284
03.01.2024;CET;00:00;00:15;MW;95,664;111,952;89,204;20,780;317,600;0,000;0,000;0,000;0,000;0,000
03.01.2024;CET;00:15;00:30;MW;0,000;0,000;0,000;0,000;0,000;22,680;26,544;21,148;4,928;75,300
03.01.2024;CET;00:30;00:45;MW;0,000;0,000;0,000;0,000;0,000;5,556;6,504;5,184;1,208;18,452
03.01.2024;CET;00:45;01:00;MW;0,000;0,000;0,000;0,000;0,000;10,616;12,424;9,900;2,304;35,244
03.01.2024;CET;01:00;01:15;MW;20,176;23,612;18,812;4,384;66,984;0,000;0,000;0,000;0,000;0,000
03.01.2024;CET;01:15;01:30;MW;0,000;0,000;0,000;0,000;0,000;17,556;20,544;16,368;3,812;58,280
03.01.2024;CET;01:30;01:45;MW;0,000;0,000;0,000;0,000;0,000;14,320;16,760;13,352;3,112;47,544
03.01.2024;CET;01:45;02:00;MW;45,224;52,924;42,172;9,824;150,144;0,000;0,000;0,000;0,000;0,000
03.01.2024;CET;02:00;02:15;MW;40,464;47,352;37,728;8,788;134,332;0,000;0,000;0,000;0,000;0,000
03.01.2024;CET;02:15;02:30;MW;0,000;0,000;0,000;0,000;0,000;28,764;33,664;26,824;6,248;95,500
03.01.2024;CET;02:30;02:45;MW;0,000;0,000;0,000;0,000;0,000;25,600;29,960;23,872;5,560;84,992
03.01.2024;CET;02:45;03:00;MW;0,000;0,000;0,000;0,000;0,000;33,380;39,064;31,128;7,252;110,824
